issue_month,grade,purpose,total_cnt,bad_rate,grade_avg_rate,ratio
2016-04-01,C,credit_card,1970,18.527918781725887,13.199692948113462,1.4036628620496774
2016-04-01,C,debt_consolidation,6060,20.0,13.199692948113462,1.515186760678282
2016-04-01,C,home_improvement,713,15.147265077138849,13.199692948113462,1.147546775268264
2016-04-01,C,house,46,21.73913043478261,13.199692948113462,1.6469421311720458
2016-04-01,C,major_purchase,250,19.6,13.199692948113462,1.4848830254647165
2016-04-01,C,medical,147,19.047619047619047,13.199692948113462,1.4430350101697924
2016-04-01,C,moving,92,20.652173913043477,13.199692948113462,1.5645950246134432
2016-04-01,C,other,840,16.666666666666664,13.199692948113462,1.2626556338985682
2016-04-01,C,small_business,125,20.8,13.199692948113462,1.5757942311054134
2016-04-01,C,vacation,102,21.568627450980394,13.199692948113462,1.6340249379863827
2016-04-01,D,car,45,28.888888888888886,18.88392967228072,1.529813412263138
2016-04-01,D,credit_card,723,27.93914246196404,18.88392967228072,1.4795195145730318
2016-04-01,D,debt_consolidation,3039,27.80519907864429,18.88392967228072,1.4724265320400391
2016-04-01,D,home_improvement,330,22.12121212121212,18.88392967228072,1.1714305499497455
2016-04-01,D,house,37,13.513513513513514,18.88392967228072,0.715609184530574
2016-04-01,D,major_purchase,117,24.786324786324787,18.88392967228072,1.3125618034210358
2016-04-01,D,medical,70,28.57142857142857,18.88392967228072,1.513002275864642
2016-04-01,D,moving,64,23.4375,18.88392967228072,1.2411346794202143
2016-04-01,D,other,422,25.59241706161137,18.88392967228072,1.3552484840683285
2016-04-01,D,small_business,89,32.58426966292135,18.88392967228072,1.7255025955085526
2016-04-01,D,vacation,47,17.02127659574468,18.88392967228072,0.9013630579619144
2016-04-01,E,credit_card,264,29.545454545454547,26.68775204771489,1.1070791759692005
2016-04-01,E,debt_consolidation,1376,33.13953488372093,26.68775204771489,1.2417507036362945
2016-04-01,E,home_improvement,138,25.36231884057971,26.68775204771489,0.9503355245220562
2016-04-01,E,major_purchase,45,40.0,26.68775204771489,1.4988148843890714
2016-04-01,E,medical,30,36.666666666666664,26.68775204771489,1.3739136440233155
2016-04-01,E,other,188,36.17021276595745,26.68775204771489,1.3553113316284158
2016-04-01,E,small_business,43,34.883720930232556,26.68775204771489,1.3071060038276785
2016-04-01,F,credit_card,70,41.42857142857143,34.89234449760766,1.1873255301434937
2016-04-01,F,debt_consolidation,521,42.034548944337814,34.89234449760766,1.204692592302585
2016-04-01,F,home_improvement,46,34.78260869565217,34.89234449760766,0.9968550178116288
2016-04-01,F,other,55,38.18181818181819,34.89234449760766,1.0942749400068563
2016-04-01,G,debt_consolidation,210,50.95238095238095,38.06706114398422,1.3384900074019246
2016-05-01,A,car,81,3.7037037037037033,3.282474302988035,1.128326793093924
2016-05-01,A,credit_card,1566,5.172413793103448,3.282474302988035,1.5757667282863423
2016-05-01,A,debt_consolidation,2981,5.736330090573634,3.282474302988035,1.7475628325107844
2016-05-01,A,home_improvement,617,4.376012965964344,3.282474302988035,1.3331446226344745
2016-05-01,A,major_purchase,186,4.838709677419355,3.282474302988035,1.4741043587194815
2016-05-01,A,medical,46,6.521739130434782,3.282474302988035,1.9868363095784316
2016-05-01,A,other,249,2.4096385542168677,3.282474302988035,0.7340921304466496
2016-05-01,A,small_business,46,13.043478260869565,3.282474302988035,3.973672619156863
2016-05-01,B,car,94,10.638297872340425,7.9361682568340015,1.340482904099162
2016-05-01,B,credit_card,2096,11.975190839694656,7.9361682568340015,1.508938627829944
2016-05-01,B,debt_consolidation,4828,12.116818558409278,7.9361682568340015,1.5267844841841944
2016-05-01,B,home_improvement,657,10.197869101978691,7.9361682568340015,1.2849865038076898
2016-05-01,B,major_purchase,202,11.881188118811881,7.9361682568340015,1.4970937780434204
2016-05-01,B,medical,114,16.666666666666664,7.9361682568340015,2.1000898830886867
2016-05-01,B,moving,43,18.6046511627907,7.9361682568340015,2.3442863811222554
2016-05-01,B,other,469,10.44776119402985,7.9361682568340015,1.31647425507052
2016-05-01,B,small_business,63,15.873015873015872,7.9361682568340015,2.0000856029416063
2016-05-01,B,vacation,75,17.333333333333336,7.9361682568340015,2.1840934784122346
2016-05-01,C,car,75,24.0,13.199692948113462,1.8182241128139385
2016-05-01,C,credit_card,1417,18.842625264643615,13.199692948113462,1.4275048168705058
2016-05-01,C,debt_consolidation,4568,19.48336252189142,13.199692948113462,1.4760466473332652
2016-05-01,C,home_improvement,534,20.037453183520597,13.199692948113462,1.518024189069065
2016-05-01,C,major_purchase,161,13.043478260869565,13.199692948113462,0.9881652787032273
2016-05-01,C,medical,110,16.363636363636363,13.199692948113462,1.2396982587367762
2016-05-01,C,moving,69,14.492753623188406,13.199692948113462,1.097961420781364
2016-05-01,C,other,580,15.517241379310345,13.199692948113462,1.175575935009012
2016-05-01,C,small_business,96,28.125,13.199692948113462,2.1307313822038343
2016-05-01,C,vacation,77,18.181818181818183,13.199692948113462,1.3774425097075294
2016-05-01,D,car,45,20.0,18.88392967228072,1.0591015931052494
2016-05-01,D,credit_card,491,29.124236252545828,18.88392967228072,1.5422762506522474
2016-05-01,D,debt_consolidation,2142,29.225023342670404,18.88392967228072,1.5476134390380163
2016-05-01,D,home_improvement,255,23.52941176470588,18.88392967228072,1.2460018742414698
2016-05-01,D,major_purchase,89,31.46067415730337,18.88392967228072,1.6660025060082575
2016-05-01,D,medical,58,22.413793103448278,18.88392967228072,1.1869241991696762
2016-05-01,D,moving,45,22.22222222222222,18.88392967228072,1.1767795478947216
2016-05-01,D,other,328,25.304878048780488,18.88392967228072,1.3400218327398736
2016-05-01,D,small_business,75,28.000000000000004,18.88392967228072,1.4827422303473494
2016-05-01,D,vacation,57,19.298245614035086,18.88392967228072,1.0219401336980476
2016-05-01,E,credit_card,200,34.0,26.68775204771489,1.2739926517307107
2016-05-01,E,debt_consolidation,1095,33.97260273972603,26.68775204771489,1.272966066193458
2016-05-01,E,home_improvement,114,31.57894736842105,26.68775204771489,1.1832749087282142
2016-05-01,E,major_purchase,45,44.44444444444444,26.68775204771489,1.6653498715434127
2016-05-01,E,medical,30,30.0,26.68775204771489,1.1241111632918035
2016-05-01,E,other,170,31.176470588235293,26.68775204771489,1.1681939540091293
2016-05-01,E,small_business,58,43.103448275862064,26.68775204771489,1.615102246108913
2016-05-01,F,credit_card,76,39.473684210526315,34.89234449760766,1.131299280082276
2016-05-01,F,debt_consolidation,391,40.66496163682864,34.89234449760766,1.165440792882713
2016-05-01,F,home_improvement,44,31.818181818181817,34.89234449760766,0.9118957833390469
2016-05-01,F,other,41,21.951219512195124,34.89234449760766,0.629112770387217
2016-05-01,G,debt_consolidation,108,39.81481481481482,38.06706114398422,1.0459124928036847
2016-06-01,A,car,112,3.571428571428571,3.282474302988035,1.088029407626284
2016-06-01,A,credit_card,1785,5.434173669467787,3.282474302988035,1.6555114123882282
2016-06-01,A,debt_consolidation,3125,5.4719999999999995,3.282474302988035,1.6670351371886871
2016-06-01,A,home_improvement,773,5.433376455368694,3.282474302988035,1.6552685425207116
2016-06-01,A,major_purchase,251,6.772908366533864,3.282474302988035,2.0633545738251438
2016-06-01,A,medical,65,7.6923076923076925,3.282474302988035,2.343447954887381
2016-06-01,A,moving,30,6.666666666666667,3.282474302988035,2.0309882275690634
2016-06-01,A,other,319,8.150470219435736,3.282474302988035,2.483026359723933
2016-06-01,A,small_business,34,2.941176470588235,3.282474302988035,0.896024218045175
2016-06-01,A,vacation,32,3.125,3.282474302988035,0.9520257316729985
2016-06-01,B,car,153,10.457516339869281,7.9361682568340015,1.3177034560556466
2016-06-01,B,credit_card,2542,11.29032258064516,7.9361682568340015,1.4226415337052394
2016-06-01,B,debt_consolidation,6011,11.429046747629346,7.9361682568340015,1.440121526882643
2016-06-01,B,home_improvement,961,10.718002081165452,7.9361682568340015,1.3505260642547434
2016-06-01,B,house,37,8.108108108108109,7.9361682568340015,1.0216653485296316
2016-06-01,B,major_purchase,333,9.60960960960961,7.9361682568340015,1.210862635294378
2016-06-01,B,medical,136,13.23529411764706,7.9361682568340015,1.667718436570428
2016-06-01,B,moving,105,12.380952380952381,7.9361682568340015,1.5600667702944533
2016-06-01,B,other,710,10.0,7.9361682568340015,1.260053929853212
2016-06-01,B,small_business,77,11.688311688311687,7.9361682568340015,1.4727903076206375
2016-06-01,B,vacation,93,3.225806451612903,7.9361682568340015,0.40646900963006843
2016-06-01,C,car,106,8.49056603773585,13.199692948113462,0.6432396625521009
2016-06-01,C,credit_card,1468,18.66485013623978,13.199692948113462,1.4140366908237374
2016-06-01,C,debt_consolidation,5375,17.655813953488373,13.199692948113462,1.337592777566223
2016-06-01,C,home_improvement,753,17.264276228419657,13.199692948113462,1.3079301386997124
2016-06-01,C,house,42,11.904761904761903,13.199692948113462,0.9018968813561202
2016-06-01,C,major_purchase,248,15.725806451612904,13.199692948113462,1.1913766868236493
2016-06-01,C,medical,180,16.666666666666664,13.199692948113462,1.2626556338985682
2016-06-01,C,moving,104,15.384615384615385,13.199692948113462,1.1655282774448323
2016-06-01,C,other,760,16.447368421052634,13.199692948113462,1.2460417439788505
2016-06-01,C,small_business,121,13.223140495867769,13.199692948113462,1.001776370696385
2016-06-01,C,vacation,89,13.48314606741573,13.199692948113462,1.0214742206819878
2016-06-01,D,credit_card,488,27.459016393442624,18.88392967228072,1.4540944003699123
2016-06-01,D,debt_consolidation,2214,27.145438121047878,18.88392967228072,1.437488837977089
2016-06-01,D,home_improvement,263,21.292775665399237,18.88392967228072,1.127560631442851
