issue_month,grade,purpose,total_cnt,bad_rate
2015-06-01,B,debt_consolidation,4294,12.133209129017233
2015-06-01,B,home_improvement,481,9.771309771309772
2015-06-01,B,major_purchase,126,14.285714285714285
2015-06-01,B,medical,44,6.8181818181818175
2015-06-01,B,other,208,11.057692307692307
2015-06-01,B,vacation,35,5.714285714285714
2015-06-01,C,car,65,7.6923076923076925
2015-06-01,C,credit_card,1554,19.626769626769626
2015-06-01,C,debt_consolidation,5165,19.864472410454987
2015-06-01,C,home_improvement,436,14.678899082568808
2015-06-01,C,major_purchase,129,18.6046511627907
2015-06-01,C,medical,75,20.0
2015-06-01,C,moving,66,18.181818181818183
2015-06-01,C,other,391,19.18158567774936
2015-06-01,C,small_business,65,15.384615384615385
2015-06-01,C,vacation,67,17.91044776119403
2015-06-01,D,credit_card,578,26.81660899653979
2015-06-01,D,debt_consolidation,2928,28.722677595628415
2015-06-01,D,home_improvement,244,20.491803278688526
2015-06-01,D,major_purchase,65,32.30769230769231
2015-06-01,D,medical,42,14.285714285714285
2015-06-01,D,moving,60,35.0
2015-06-01,D,other,294,26.53061224489796
2015-06-01,D,small_business,52,36.53846153846153
2015-06-01,D,vacation,38,18.421052631578945
2015-06-01,E,credit_card,292,36.986301369863014
2015-06-01,E,debt_consolidation,1834,35.986913849509264
2015-06-01,E,home_improvement,168,29.761904761904763
2015-06-01,E,major_purchase,52,36.53846153846153
2015-06-01,E,moving,32,28.125
2015-06-01,E,other,160,36.875
2015-06-01,E,small_business,54,29.629629629629626
2015-06-01,F,credit_card,66,39.39393939393939
2015-06-01,F,debt_consolidation,559,42.039355992844364
2015-06-01,F,home_improvement,59,49.152542372881356
2015-06-01,F,other,55,45.45454545454545
2015-06-01,G,debt_consolidation,91,49.45054945054945
2015-07-01,A,car,93,4.301075268817205
2015-07-01,A,credit_card,2996,4.873164218958611
2015-07-01,A,debt_consolidation,3708,5.151024811218987
2015-07-01,A,home_improvement,568,4.753521126760563
2015-07-01,A,major_purchase,146,5.47945205479452
2015-07-01,A,medical,32,3.125
2015-07-01,A,other,127,1.574803149606299
2015-07-01,B,car,134,9.701492537313433
2015-07-01,B,credit_card,3844,11.966701352757545
2015-07-01,B,debt_consolidation,6845,11.541271000730461
2015-07-01,B,home_improvement,788,12.944162436548224
2015-07-01,B,major_purchase,207,14.492753623188406
2015-07-01,B,medical,99,9.090909090909092
2015-07-01,B,moving,44,6.8181818181818175
2015-07-01,B,other,370,7.027027027027027
2015-07-01,B,vacation,72,13.88888888888889
2015-07-01,C,car,111,18.01801801801802
2015-07-01,C,credit_card,2838,19.45031712473573
2015-07-01,C,debt_consolidation,8187,19.885183828020033
2015-07-01,C,home_improvement,745,19.06040268456376
2015-07-01,C,house,39,17.94871794871795
2015-07-01,C,major_purchase,232,18.53448275862069
2015-07-01,C,medical,150,16.0
2015-07-01,C,moving,121,16.528925619834713
2015-07-01,C,other,663,18.250377073906485
2015-07-01,C,small_business,70,14.285714285714285
2015-07-01,C,vacation,140,12.857142857142856
2015-07-01,D,car,39,33.33333333333333
2015-07-01,D,credit_card,1024,29.8828125
2015-07-01,D,debt_consolidation,4595,27.18171926006529
2015-07-01,D,home_improvement,387,19.12144702842377
2015-07-01,D,house,44,18.181818181818183
2015-07-01,D,major_purchase,101,25.742574257425744
2015-07-01,D,medical,92,21.73913043478261
2015-07-01,D,moving,94,24.46808510638298
2015-07-01,D,other,447,26.845637583892618
2015-07-01,D,small_business,93,20.43010752688172
2015-07-01,D,vacation,76,23.684210526315788
2015-07-01,E,credit_card,460,35.0
2015-07-01,E,debt_consolidation,2830,34.55830388692579
2015-07-01,E,home_improvement,252,34.523809523809526
2015-07-01,E,house,39,12.82051282051282
2015-07-01,E,major_purchase,56,33.92857142857143
2015-07-01,E,medical,42,38.095238095238095
2015-07-01,E,moving,39,38.46153846153847
2015-07-01,E,other,243,27.160493827160494
2015-07-01,E,small_business,61,29.508196721311474
2015-07-01,F,credit_card,89,46.06741573033708
2015-07-01,F,debt_consolidation,819,44.2002442002442
2015-07-01,F,home_improvement,98,39.795918367346935
2015-07-01,F,other,92,46.73913043478261
2015-07-01,G,debt_consolidation,151,45.033112582781456
2015-08-01,A,car,51,3.9215686274509802
2015-08-01,A,credit_card,2443,5.5259926320098245
2015-08-01,A,debt_consolidation,2880,5.520833333333333
2015-08-01,A,home_improvement,380,3.421052631578948
2015-08-01,A,major_purchase,118,7.627118644067797
2015-08-01,A,medical,30,16.666666666666664
2015-08-01,A,other,96,5.208333333333334
2015-08-01,B,car,87,11.494252873563218
2015-08-01,B,credit_card,3278,11.439902379499694
2015-08-01,B,debt_consolidation,5627,9.987559978674248
2015-08-01,B,home_improvement,586,10.580204778156997
2015-08-01,B,major_purchase,214,12.149532710280374
2015-08-01,B,medical,76,7.894736842105263
2015-08-01,B,other,305,10.491803278688524
2015-08-01,B,vacation,43,9.30232558139535
2015-08-01,C,car,73,16.43835616438356
2015-08-01,C,credit_card,2246,20.035618878005344
2015-08-01,C,debt_consolidation,6168,18.56355382619974
2015-08-01,C,home_improvement,606,18.316831683168317
2015-08-01,C,house,31,6.451612903225806
2015-08-01,C,major_purchase,178,19.662921348314608
2015-08-01,C,medical,110,15.454545454545453
2015-08-01,C,moving,64,14.0625
2015-08-01,C,other,527,17.836812144212523
2015-08-01,C,small_business,64,14.0625
2015-08-01,C,vacation,68,19.11764705882353
2015-08-01,D,car,37,21.62162162162162
2015-08-01,D,credit_card,838,28.997613365155132
2015-08-01,D,debt_consolidation,3357,28.358653559725944
2015-08-01,D,home_improvement,299,22.40802675585284
2015-08-01,D,house,30,30.0
2015-08-01,D,major_purchase,81,27.160493827160494
2015-08-01,D,medical,57,38.59649122807017
2015-08-01,D,moving,60,23.333333333333332
2015-08-01,D,other,371,23.450134770889488
2015-08-01,D,small_business,79,18.9873417721519
2015-08-01,D,vacation,56,23.214285714285715
2015-08-01,E,credit_card,371,38.00539083557952
2015-08-01,E,debt_consolidation,2103,36.66191155492154
2015-08-01,E,home_improvement,196,26.53061224489796
2015-08-01,E,major_purchase,63,33.33333333333333
2015-08-01,E,medical,36,33.33333333333333
2015-08-01,E,moving,35,25.71428571428571
2015-08-01,E,other,188,29.78723404255319
2015-08-01,E,small_business,60,41.66666666666667
2015-08-01,F,credit_card,56,55.35714285714286
2015-08-01,F,debt_consolidation,574,42.508710801393725
